Eastern Date Hour,Eastern Date Hour Time Zone,Zone Name,Zone PTID,DAM Zonal LBMP,DAM Zonal Losses,DAM Zonal Congestion,DAM Zonal Price Version
6/15/24 10:00,EDT,N.Y.C.,61761,22.84,1.77,0,1
6/15/24 11:00,EDT,N.Y.C.,61761,23.22,1.86,0,1
6/15/24 12:00,EDT,N.Y.C.,61761,23.26,1.86,0,1
6/15/24 13:00,EDT,N.Y.C.,61761,23.23,1.88,0,1
6/15/24 14:00,EDT,N.Y.C.,61761,23.66,1.99,0,1
6/15/24 15:00,EDT,N.Y.C.,61761,24.05,2.19,0,1
6/15/24 16:00,EDT,N.Y.C.,61761,27.99,2.66,0,1
6/15/24 17:00,EDT,N.Y.C.,61761,32.24,3.12,0,1
6/15/24 18:00,EDT,N.Y.C.,61761,34.18,3.08,0,1
6/15/24 19:00,EDT,N.Y.C.,61761,33.14,2.93,0,1
